P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
184.8,31.21612903,24.81357532,151.42,31.03935484,20.11,177.6,31.81935484,20.72903226
277,28.15714286,22.68229164,146.77,29.02892857,19.19857143,255,28.77142857,19.58214286
189.4,27.43225806,21.96532268,144.7,27.65967742,18.30290323,196.1,28.03870968,19.11290323
99.6,26.53666667,20.642639,65.89,27.095,16.332,79.9,27.13666667,17.35333333
88,23.21290323,18.11008061,89.19,23.82677419,14.13419355,96.7,23.81290323,15.19032258
11.2,23.42333333,17.62611113,5.48,23.342,12.06866667,10.9,24.02666667,13.78666667
131.4,22.56451613,17.3450269,78.05,23.31774194,12.30677419,134.4,23.16451613,14.01290323
33.8,26.69354839,20.12056442,27.94,27.68129032,12.62774194,39.4,27.29354839,15.19032258
165.4,27.26666667,21.17624997,161.35,29.37566667,15.65933333,204.3,27.87666667,16.92333333
79.4,28.69354839,21.94287632,113.97,30.90064516,17.36387097,108.6,29.29354839,18.03548387
404.8,27.08666667,21.85263887,259.14,28.936,18.664,339.1,27.69333333,18.89666667
272.4,28.18387097,22.87741935,216.17,28.70709677,19.80870968,190.5,28.78387097,20.10322581
239.2,28.15483871,22.74852142,273.43,28.38709677,18.83903226,239.1,28.76129032,19.63225806
170.4,29.66896552,23.97959759,184.16,29.04068966,19.90241379,217.2,30.26896552,20.6862069
104.6,28.48064516,22.76424739,121.71,28.08548387,18.64193548,142.8,29.08387097,19.49032258
38,29.49,23.36263897,30.58,28.51433333,17.41266667,46.5,30.09333333,18.82333333
170.8,22.11612903,17.25618281,131.53,23.17322581,13.51741935,171.5,22.72903226,14.53870968
123.6,20.9137931,15.37489834,95.14,21.02862069,10.1662069,144.4,21.51724138,11.82758621
12.6,24.34333333,17.46806767,13.17,23.123,10.56033333,12.6,24.94666667,12.69333333
79.8,25.00967742,18.15537635,75.63,24.88290323,11.70516129,80.6,25.61935484,13.71290323
41.4,25.31666667,18.35402783,17.98,26.35433333,12.14966667,49.2,25.92666667,13.78666667
127,27.12258065,20.35887097,103.01,28.47870968,15.50129032,146.6,27.73548387,16.46451613
81.4,28.18,21.3695833,58.26,29.20633333,16.286,93,28.78333333,17.29666667
189.6,29.03225806,22.76854845,132.2,29.90193548,18.39129032,208.2,29.63225806,19.03870968
328,28.47419355,22.76276868,289.12,28.07483871,19.56677419,394.8,29.07741935,20.00322581
102.4,30.14642857,24.22217261,84.87,30.04678571,19.69464286,106.4,30.75714286,20.38214286
145.2,28.01935484,22.1793011,96.98,28.26129032,18.63774194,143.4,28.62903226,19.12903226
163.4,26.12,20.237639,121.43,25.94233333,15.72833333,171.9,26.72,16.85333333
197.2,23.80322581,18.78575271,163.75,24.18354839,14.90032258,220.8,24.40322581,15.83548387
140.4,23.04642857,17.42680514,93.47,22.57607143,12.25678571,140.6,23.64642857,13.81428571
1,23.3,17.0072765,0.16,21.92,9.817333333,0.2,23.90333333,12.6
94.2,23.89032258,17.84126348,60.54,24.53387097,12.0183871,89.2,24.49677419,13.76774194
12.6,29.23,22.1423611,13.21,30.268,14.02466667,15.3,29.83333333,16.86666667
298.4,27.3516129,21.05537639,144.47,30.27354839,16.85387097,250.3,27.97741935,17.23225806
241.6,27.13333333,20.95736117,200.29,28.51233333,15.897,240.2,27.74666667,17.11666667
243.6,28.39677419,22.71787626,165.07,29.66806452,18.64709677,218.5,28.99677419,19.28387097
262.4,27.97741935,22.36303771,221.35,28.45387097,18.74483871,211.8,28.58709677,19.4483871
82,27.925,21.94376936,127.88,28.35964286,17.85428571,64.7,28.52857143,18.73928571
192.6,30.256,24.06849996,137.21,29.844,19.9776,142.5,30.86,20.46
25,23.26153846,17.05994992,14.78,22.52461538,11.02,14.5,23.86153846,13.06923077
41.6,23.17777778,17.57643556,25.43,22.95111111,12.85333333,24.1,23.78333333,14.42222222
0.8,25.09375,17.86947144,1.82,26.43,11.555625,12.9,25.69375,12.925
65.4,27.73846154,21.39871792,57.17,29.3,16.80538462,62.2,28.34615385,17.50769231
